date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/1 0:00,0,0,2.25423,2.7,1040.29596,81.1434
2020/1/1 0:15,0,0,2.45025,2.5,1040.19498,79.0628
2020/1/1 0:30,0,0,2.35224,2.4,1040.19498,76.9822
2020/1/1 0:45,0,0,2.54826,2.3,1040.094,75.9419
2020/1/1 1:00,0,0,2.54826,2.3,1040.19498,73.8613
2020/1/1 1:15,0,0,2.35224,2.2,1040.19498,71.7807
2020/1/1 1:30,0,0,2.05821,2.1,1040.19498,70.7404
2020/1/1 1:45,0,0,2.54826,2.1,1039.99302,69.7001
2020/1/1 2:00,0,0,2.54826,1.9,1039.99302,68.6598
2020/1/1 2:15,0,0,2.84229,2.1,1039.99302,68.6598
2020/1/1 2:30,0,0,2.64627,2,1040.094,67.6195
2020/1/1 2:45,0,0,2.54826,1.8,1040.19498,66.5792
2020/1/1 3:00,0,0,2.25423,1.6,1040.19498,66.5792
2020/1/1 3:15,0,0,2.05821,1.7,1040.19498,66.5792
2020/1/1 3:30,0,0,1.76418,1.6,1039.99302,65.5389
2020/1/1 3:45,0,0,0.88209,1.4,1039.69008,65.5389
2020/1/1 4:00,0,0,1.17612,1.5,1039.5891,65.5389
2020/1/1 4:15,0,0,1.56816,1.3,1039.48812,65.5389
2020/1/1 4:30,0,0,1.86219,1.1,1039.28616,65.5389
2020/1/1 4:45,0,0,1.66617,1.3,1039.38714,65.5389
2020/1/1 5:00,0,0,1.56816,1.6,1039.38714,65.5389
2020/1/1 5:15,0,0,1.07811,1.7,1039.38714,64.4986
2020/1/1 5:30,0,0,0.68607,1.7,1039.38714,64.4986
2020/1/1 5:45,0,0,0.58806,1.6,1039.28616,64.4986
2020/1/1 6:00,0,0,0.58806,1.6,1039.28616,64.4986
2020/1/1 6:15,0,0,0.09801,1.6,1039.28616,64.4986
2020/1/1 6:30,0,0,-0.19602,1.9,1039.38714,63.4583
2020/1/1 6:45,0,0,-0.09801,1.8,1039.5891,63.4583
2020/1/1 7:00,0,0,-0.58806,1.6,1039.48812,62.418
2020/1/1 7:15,0,1,-0.39204,1.5,1039.48812,62.418
2020/1/1 7:30,2.0431,16,-0.29403,1.4,1039.69008,61.3777
2020/1/1 7:45,3.9975,46,0.09801,1.6,1039.69008,60.3374
2020/1/1 8:00,6.1294,156,0.88209,1.8,1039.69008,59.2971
2020/1/1 8:15,8.8833,230,1.27413,2.1,1039.79106,58.2568
2020/1/1 8:30,12.3477,317,2.54826,2.6,1039.69008,58.2568
2020/1/1 8:45,23.9848,365,4.21443,3.3,1039.89204,57.2165
2020/1/1 9:00,34.1117,443,4.99851,3.9,1039.89204,56.1762
2020/1/1 9:15,40.0635,508,7.93881,4.5,1039.89204,56.1762
2020/1/1 9:30,43.2615,578,8.8209,5.1,1039.69008,55.1359
2020/1/1 9:45,48.1472,612,10.19304,5.4,1039.48812,54.0956
2020/1/1 10:00,53.3884,664,14.50548,5.9,1039.38714,54.0956
2020/1/1 10:15,57.1193,748,17.44578,6.2,1039.18518,53.0553
2020/1/1 10:30,61.028,795,19.70001,6.5,1039.0842,52.015
2020/1/1 10:45,64.4924,859,21.36618,7,1038.78126,52.015
2020/1/1 11:00,67.0686,886,22.44429,7.1,1038.47832,52.015
2020/1/1 11:15,69.7336,938,26.36469,7.9,1038.17538,53.0553
2020/1/1 11:30,71.599,952,27.73683,7.5,1037.77146,53.0553
2020/1/1 11:45,72.4874,978,21.36618,8.1,1037.46852,54.0956
2020/1/1 12:00,73.2868,1020,15.28956,8.5,1037.16558,54.0956
2020/1/1 12:15,73.3757,1017,13.32936,8.5,1036.86264,54.0956
2020/1/1 12:30,71.599,990,14.21145,9.1,1036.5597,55.1359
2020/1/1 12:45,70.4442,1006,16.46568,9.7,1036.35774,56.1762
